Grade,Strand,"Anchor Standard",Code,Benchmark
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.4,"Use models, pictures or numbers to recognize and describe the place value of numbers between 10 and 120 as a relationship of n groups of 10 plus an amount represented by a single digit (n ´ 10 + a). (MP4, MP7) $"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.5,"Estimate amounts up to 120 using benchmarks of 5s and 10s. (MP1, MP2) $ ☼"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.6,"Solve contextual situations, up to and including 20, using addition and subtraction strategies of adding to, taking from, part-part-whole, difference between and comparing. Solve for unknowns in contextual situations using objects, drawings and equations with unknowns represented by a symbol in all positions (result, change, start). (MP2, MP4) $ μ"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.7,"Add within 100, including adding a two-digit number with a one-digit number and adding a two-digit number with a multiple of 10 using concrete models, place value language and properties of operations. Understand that in adding two-digit numbers, sometimes it is necessary to compose a new ten. (MP2, MP4) $"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.8,"Decompose numbers less than or equal to 10 into pairs, in more than one way, using objects or drawings. Record each decomposition with a drawing or equation. (MP7)"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.9,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on, making ten, decomposing a number leading to a ten using the relationship between addition and subtraction and creating equivalent but easier or known sums. (MP2, MP4) $ # μ"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.10,"Use combinations of 10 to add to the next decade through 100. (MP7) $"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.11,"Determine the double of any single-digit number. (MP8)"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.12,"Represent and solve contextual equal sharing situations where a whole number of items is shared equally among 2 groups. Name the fractional amount using the word “half.” (MP3, MP2)  $"
1,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",1.3.6.1,"Compare two two-digit numbers based on the meaning of the tens and ones digits. (MP3, MP4) $"
1,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",1.3.6.2,"Determine if equations involving addition and subtraction are true or false, including those with operations on both sides. (MP2) $"
1,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",1.3.6.3,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. (MP7) $"
1,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",1.3.7.1,"Create simple patterns using objects, pictures, numbers and rules. Identify possible rules to complete or extend patterns. Patterns may be repeating, growing or shrinking. Calculators can be used to create and explore patterns. (MP5, MP7) ✜ # ☼"
1,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",1.3.7.2,"Recognize patterns in counting. Skip count by 2s and 5s starting at zero up to 120. Skip count by 10s up to 120 starting at a non-zero number. (MP7) ✜ ☼"
1,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",1.3.7.3,"Describe what is changing and what is staying the same in a visual growing pattern. (MP1, MP8) ✜ μ ☼"
2,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",2.1.1.1,"Notice and describe patterns in data-rich situations and create statistical investigative questions. (MP6, MP7) ✜ ☼ "
2,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",2.1.1.2,"Determine what counts as data to answer a statistical investigative question. Recognize that people collect data to answer questions and that data can vary. (MP1) ☼"
2,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",2.1.1.3,"Collect and use data to consider and decide what data will answer a question. Represent the data as drawings, picture graphs, dot plots (a.k.a. line graphs or line plots) and with technology. Communicate observations. (MP3, MP5) # μ"
2,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",2.1.1.4,"Make predictions using patterns from data visualizations. (MP7, MP8) # μ"
2,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",2.1.2.1,"Describe the difference between possible and likely. (MP1, MP6)"
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.1,"Estimate lengths using units of inches, feet, centimeters and meters. (MP2, MP5) ✜ ☼ "
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.2,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard-length unit. Relate addition and subtraction to length. (MP5) ☼"
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.3,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks and measuring tapes. (MP5, MP6) ✜ ☼"
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.4,"Represent whole numbers as lengths from 0 on a number line with equally spaced points corresponding to the numbers 0, 1, 2, …. Represent whole-number sums and differences, within 100, on a number line. (MP4, MP5)"
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.5,"Partition a rectangle into rows and columns of same-size squares and count the total number. (MP8)"
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.6,"Use addition and subtraction, within 100, to solve contextual situations involving lengths that are given in the same units using drawings (such as rulers) and equations with a symbol for the unknown number to represent the situation. (MP1, MP4) $"
2,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",2.2.3.7,"Identify pennies, nickels, dimes and quarters. Find the value of a group of coins and determine combinations of coins that equal a given amount, using $ and ¢ symbols appropriately. (MP7) $"
2,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",2.2.4.1,"Classify two- and three-dimensional figures according to the number and shape of faces and the number of sides, edges and vertices. (MP1, MP2) ✜ ☼"
2,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",2.2.4.2,"Create a representation for basic two-dimensional shapes such as squares, circles, triangles, rectangles, trapezoids and hexagons. (MP5, MP6) ☼"
2,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",2.2.4.3,"Describe the location of an object in relation to another object. (MP1, MP6) ☼"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.1,"Count collections of objects using groups of 10s and 100s to 1,000. Represent the counting strategy and the total using words, symbols and pictures. (MP1) ✜ $ ☼"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.2,"Read, write, compare, order and represent whole numbers up to 1,000. Representations may include numerals, expanded notation, addition, subtraction, multiplication, words, pictures, tally marks, number lines and manipulatives such as bundles of sticks, ten frames and base 10 blocks. (MP4) ✜ $ ☼"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.3,"Given a three-digit number, mentally find 10 more or 10 less and 100 more or 100 less than the number. Justify reasoning by referencing a model. (MP2, MP3) $"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.4,"Recognize and describe the place value of numbers between 10 and 1,000 as a relationship of groups of tens, hundreds and thousands plus an amount of a single digit. Know that 100 is 10 tens and a thousand is  10 hundreds or 100 tens. (MP4, MP7) $"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.5,"Estimate sums and differences of two-digit numbers. (MP1) $"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.6,"Use addition and subtraction, within 1,000, to solve contextual situations using concrete models or drawings based on place value, properties of operations and/or the relationship between addition and subtraction. Relate the strategy to a written method. (MP1, MP4) $"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.7,"Use a range of strategies and algorithms based on knowledge of place value and equality to flexibly add and subtract two-digit numbers. Strategies may include decomposition, expanded notation and partial sums and differences. Use place value and properties of operations to explain why strategies work. (MP1, MP7) μ"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.8,"Fluently add and subtract, within 20, using mental strategies that include incrementing, compensation or fact families. (MP7) $"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.9,"Use landmarks of 10 to fluently add to 100 and subtract from 100. (MP7) $"
2,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",2.3.5.10,"Represent and solve contextual equal sharing situations where a whole number of items is shared equally among 2 or 4 groups. Name the fractional amount using the words “halves” and “fourths.” Recognize that equal shares of identical wholes need not have the same shape. (MP3, MP7) $ μ ☼"
2,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",2.3.6.1,"Compare two- and three-digit numbers based on meanings of the hundreds, tens and ones digits. (MP2, MP7) ☼"
2,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",2.3.6.2,"Use number sentences involving addition, subtraction and unknowns to represent given situations. Use the relationship of addition and subtraction to find values for the unknowns that make the number sentences true. (MP4) $ ☼"
2,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",2.3.6.3,"Make conjectures and justifications involving subtraction and addition with true/false and open number equations. (MP3) $"
2,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",2.3.7.1,"Identify, create and describe simple number patterns involving repeated addition or subtraction, skip counting and arrays of objects such as counters or tiles. Use patterns to solve situations in various contexts. (MP7, MP8) ✜ $ # ☼"
2,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",2.3.7.2,"Recognize patterns in counting. Skip count by 2s and 5s from any given number up to 120. (MP7) $"
2,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",2.3.7.3,"Use numeric expressions to describe a visual growing pattern. (MP8) ✜ μ ☼"
3,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",3.1.1.1,"Notice and describe patterns in data-rich situations or given data sets. Ask statistical questions that can be answered with data. (MP7) ✜ ☼ "
3,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",3.1.1.2,"Describe how data can be collected, including from surveys, grouping of items and measurement, to answer a statistical investigative question. (MP7) ☼"
3,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",3.1.1.3,"Collect and organize data to answer a statistical question using various tools and addressing missing or incomplete data. Represent data in a variety of ways including technology. (MP1, MP5) # μ ☼"
3,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",3.1.1.4,"Make predictions and recognize that the amount and source of the data impacts the accuracy of predictions. (MP4, MP8)"
3,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",3.1.1.5,"Critically analyze data visualizations, including frequency tables, bar graphs, picture graphs or number line plots having a variety of scales, to support a claim and solve situations. (MP1, MP3) $ #"
3,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",3.1.2.1,"Describe outcomes of events as impossible, certain, likely, unlikely and equally likely. (MP1, MP4)"
3,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",3.2.3.1,"Measure lengths to the nearest fourth when measuring with standard units. (MP2, MP5, MP6) ☼"
3,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",3.2.3.2,"Compare and contrast the relative sizes of measurement units within one system (such as inches, feet, and yards; centimeters and meters; grams and kilograms; ounces and pounds; cups and gallons; quarters and dollars). (MP5, MP6) $ ☼"
